Category,Veg,drought_cat,sites_n,n_obs,mean,sd,median,ci_low,ci_high
Veg,DBF,LS,7,1137,-2.8337730870712403,1.8792986202567703,-3,-2.9431250582343793,-2.7244211159081013
Veg,DBF,MS,6,920,-2.814673913043478,2.018724077522376,-3,-2.945292051430031,-2.684055774656925
Veg,DBF,ND,7,6366,-2.5327521206409047,1.9473397642826438,-2.5,-2.5805974004529344,-2.484906840828875
Veg,ENF,LS,8,1487,-3.3103564223268327,2.0970755306752245,-3.5,-3.4170309077948757,-3.2036819368587897
Veg,ENF,MS,2,202,-2.952970297029703,2.2946002131998564,-3,-3.271318386472598,-2.6346222075868084
Veg,ENF,ND,8,6123,-2.9386738526865916,2.15217469890579,-3,-2.9925913039242893,-2.884756401448894
Veg,GRA,LS,14,3280,-3.1373475609756096,2.161614086067313,-3,-3.2113506194302346,-3.0633445025209847
Veg,GRA,MS,4,740,-2.487162162162162,1.6736952547801325,-2.5,-2.607949242676879,-2.366375081647445
Veg,GRA,ND,14,13772,-2.9202730177171072,1.9765703324439594,-3,-2.9532871608049045,-2.88725887462931
Veg,SHR,LS,11,3050,-3.9462295081967214,2.320794643949525,-4,-4.0286257342182346,-3.863833282175208
Veg,SHR,MS,3,141,-3.641843971631206,2.224318708804653,-4,-4.012188496381384,-3.2714994468810277
Veg,SHR,ND,11,12426,-3.59242716883953,2.168581162251173,-3.5,-3.630560118969002,-3.554294218710058
