sitename,swc_selected,badm_swc_variable,swc_height (m),,metadata_source,
US-AUD,SWC_PI_1,SWC_PI_1,-0.1,,Ameriflux,
US-CHR,SWC_PI_1,SWC_PI_1,-0.05,,Ameriflux,
US-DK2,SWC_1_1_1,SWC_1_1_1,-0.1,,Ameriflux,
US-DK3,SWC_PI_F_1_1_1,SWC_PI_1_1_A,-0.25,,Ameriflux,
US-IB2,SWC_1_1_1,SWC_1_1_1,-0.025,,Ameriflux,
US-JO1,SWC_F_MDS_1,SWC_1_1_1,-0.05,,Fluxnet,
US-JO2,SWC_1_1_1,SWC_1_1_1,-0.05,,Ameriflux,this had fluxnet too but pretty sure code selected for ameriflux
US-KM2,SWC,SWC,unavailable,,Ameriflux,
US-KM3,SWC,SWC,unavailable,,Ameriflux,
US-KON,SWC_F_MDS_1,SWC_2_1_1,-0.02,,Fluxnet,
US-LL1,SWC,SWC,-0.2,,Ameriflux,
US-LL2,SWC,SWC,-0.2,,Ameriflux,
US-LL3,SWC,SWC,-0.08,,Ameriflux,
US-ME2,SWC_F_MDS_1,SWC_1_1_1,-0.1,,Fluxnet,
US-ME6,SWC_F_MDS_1,SWC_1_1_1,-0.1,,Fluxnet,
US-MMS,SWC_F_MDS_1,SWC_1_1_1,-0.3,,Fluxnet,
US-MO2,SWC_F_MDS_1,SWC_1_1_1,-0.125,,Fluxnet,
US-MOZ,SWC_F_MDS_1,SWC_1_1_1,-0.1,,Fluxnet,
US-NC2,SWC_1_1_1,SWC_1_1_1,-0.3,,Ameriflux,
US-NC3,SWC_F_MDS_1,SWC_1_1_1,-0.2,,Fluxnet,
US-ONA,SWC_F_MDS_1,SWC_1_1_1,-0.1,,Fluxnet,
US-RO4,SWC_F_MDS_1,SWC,-0.1,,Fluxnet,
US-SP1,SWC_F_MDS_1,SWC_1_1_1,-0.15,,Fluxnet,
US-SRC,SWC_F_MDS_1,SWC_1_1_1,-0.025,,Fluxnet,
US-SRG,SWC_F_MDS_1,SWC_1_1_1,-0.05,,Fluxnet,
US-SRM,SWC_F_MDS_1,SWC_PI_1_1_A,-0.05,,Fluxnet,
US-SRS,SWC_F_MDS_1,SWC_1_1_1,-0.05,,Fluxnet,
US-TON,SWC_F_MDS_1,SWC_PI_1_1_A,-0.001,,Fluxnet,
US-UMB,SWC_F_MDS_1,SWC_1_1_1,-0.15,,Fluxnet,
US-UMD,SWC_F_MDS_1,SWC_1_1_1,-0.15,,Fluxnet,
US-VAR,SWC_F_MDS_1,SWC_1_1_1,-0.001,,Fluxnet,
US-WHS,SWC_F_MDS_1,SWC_1_1_1,-0.05,,Fluxnet,
US-WKG,SWC_F_MDS_1,SWC_1_1_1,-0.05,,Fluxnet,
US-WRC,SWC_1,SWC_PI_1,-0.2,,Ameriflux,
US-XAE,SWC_F_MDS_1,SWC_1_1_1,-0.06,,Fluxnet,
US-XCL,SWC_F_MDS_1,SWC_1_1_1,-0.06,,Fluxnet,
US-XDL,SWC_F_MDS_1,SWC_1_1_1,-0.06,,Fluxnet,
US-XKZ,SWC_F_MDS_1,SWC_1_1_1,-0.07,,Fluxnet,
US-XMB,SWC_F_MDS_1,SWC_1_1_1,-0.06,,Fluxnet,
US-XSE,SWC_F_MDS_1,SWC_1_1_1,-0.06,,Fluxnet,
,,,,,,
